"","n","p","method","perc_best","mean_acc","mean_sens","mean_spec","mean_auc","mean_time","mean_nonz"
"1",1000,10,"FR",64,0.738133333333333,0.745487611185871,0.730900467407857,0.809622725977843,0.419158393144608,9.325
"2",1000,10,"LR",NA,0.742166666666667,0.736434409693266,0.748173993103403,0.811104499095605,0.00178584853808085,9.98333333333333
"3",1000,10,"NLLCD",26,0.7353,0.731218500591029,0.740610780052653,0.801743508381535,0.0592702945073446,8.675
"4",1000,10,"Round",10,0.719033333333333,0.677671881582918,0.760699256071828,0.794568905847439,0.00179024537404378,7.125
"5",1000,20,"FR",82,0.8028,0.81453281422412,0.791504892428289,0.888611146683846,27.4348412632942,17.05
"6",1000,20,"LR",NA,0.8061,0.809242261465518,0.803926358922765,0.889691535157497,0.00662456750869751,19.975
"7",1000,20,"NLLCD",8,0.7929,0.792070295042936,0.79404256579911,0.87542501066195,0.249027663469315,16.575
"8",1000,20,"Round",10,0.7849,0.769666792148097,0.801742756654332,0.879759953599831,0.00663085579872131,13.475
"9",1000,100,"FR",75,0.8144,0.821952173741692,0.807325565503286,0.894849760247073,815.531680822372,81.1
"10",1000,100,"LR",NA,0.8171,0.813107165230527,0.82157231296571,0.887912499497652,0.0427279114723206,99.775
"11",1000,100,"NLLCD",22,0.8015,0.798268211129166,0.804699782608288,0.879662051686708,1.4740713596344,74.7
"12",1000,100,"Round",2,0.7926,0.767662940563086,0.81932000097742,0.877103489432385,0.0427371144294739,71.45
